# Data exported by Green Light District
#
# Infrastructure: "untitled" by 
# Simulation: "untitled"
# Tracking data: "total waiting queue length"
# Measured: queue length (roadusers)
#
# Format: <Cycle>	<length>
#
1066957	0.0
1066961	0.0
1066965	0.0
1066969	0.0
1066973	0.0
1066977	0.0
1066981	0.0
1066985	1.0
1066989	0.0
1066993	0.0
1066997	0.0
1067001	0.0
1067005	0.0
1067009	0.0
1067013	0.0
1067017	0.0
1067021	0.0
1067025	0.0
1067029	0.0
1067033	0.0
1067037	0.0
1067041	0.0
1067045	0.0
1067049	0.0
1067053	0.0
1067057	0.0
1067061	0.0
1067065	0.0
1067069	0.0
